Substance,ISO,Country,Subnational code *,Subnational desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,AUT,Austria,AT22,Steiermark,17067.704000154,18040.023239359,16160.972590017,16219.867703651,16362.74353148,16826.936659146,17441.066574402,17737.056182031,17622.695623837,17136.333206146,16934.054378373,17680.650058674,17366.693614393,18367.392517003,18381.218260843,18379.33476171,17864.744589664,16327.570963231,16230.042150695,14585.722197272,15565.892331228,15453.530871842,15655.882025241,15925.776706106,15020.685235857,15331.725039306,15857.244613161,16477.9478779,15766.31459962,15796.664522587,15286.819602303,15014.855440457,14284.847710464,13360.583037224,13265.14617637
GWP_100_AR5_GHG,AUT,Austria,AT31,Oberösterreich,19511.732464231,20093.783826143,18743.296512587,18423.344227964,18653.808927426,19979.63467905,20731.401049977,20817.80230209,20816.97613815,20520.506234377,21417.76578475,21713.252011061,22478.394479731,23258.152527143,23154.936617134,22983.095385484,22316.102663138,22003.696030962,22688.238515027,19724.479926834,21941.318400559,21555.533203753,20960.322253643,20961.578625648,20411.64661766,20406.000221385,21115.475724695,21057.368683582,19828.284842191,20373.702647491,19565.449875543,20724.023330395,19526.954133397,18413.860470127,18328.863030302
GWP_100_AR5_GHG,AUT,Austria,AT32,Salzburg,3852.657014147,4094.360865466,3992.444635572,3980.8769295333,3927.5806552874,3976.1279952197,4192.6101482102,4161.0811036518,4230.5651758311,4117.7114960887,4095.2291211649,4551.7982476069,4682.5397665939,4847.3838741881,4897.4707859231,4924.0370153308,4813.2072371053,4696.8451447225,4673.6543356905,4365.2285974733,4480.5705380317,4324.4990622094,4220.3850766791,4276.5944266418,4124.0727649959,4245.0279987663,4347.2676541023,4424.8389179598,4381.2634007812,4366.8603630173,4091.6555188559,4287.0921306247,4000.1495850699,3738.4686982587,3696.7051223488
GWP_100_AR5_GHG,AUT,Austria,AT33,Tirol,4198.0465226611,4489.4679890569,4416.5069980563,4411.4169697925,4354.9133357832,4485.4459344323,4757.8639103366,4535.5377999758,4708.3870936643,4655.3377010765,4574.4226478964,4869.6339138254,5003.7492792687,5206.3360316105,5292.0905154002,5310.1315233033,5178.2315983329,5033.0994336419,4966.2164341881,4689.6139396578,4852.1316784466,4671.9104606064,4594.4997732343,4718.9647048854,4541.5256821409,4654.5039239825,4734.4433514356,4817.9282660166,4730.4251074346,4736.6660179161,4426.2107049731,4637.8370687717,4276.1326208196,4048.4767655363,3996.6610598079
GWP_100_AR5_GHG,AUT,Austria,AT34,Vorarlberg,1836.8383281461,1974.069247947,1940.725391294,1941.4544195402,1919.2534364807,2002.399259576,2115.8973020479,1996.1167252493,2067.9151401579,2049.2024801042,1989.4821686081,2119.5097600015,2166.5640554915,2260.6939634678,2300.6746753465,2309.6796361794,2256.8896702006,2174.7657067571,2147.5800800098,2026.3382951742,2128.7446901822,2030.892705865,1994.0234415949,2029.4213880645,1940.6245891513,1990.5792074703,2018.2308390643,2074.6313827698,2007.1754298449,2016.8709142801,1882.2297834678,1987.6608647104,1808.2336391891,1711.0455091964,1687.9471005162
GWP_100_AR5_GHG,AUT,Austria,,,93.4431048508,99.63865831,105.9243773244,118.315794032,124.511650076,124.684991562,137.0764082696,140.1744947884,155.6700732368,155.6636882256,146.459597227,140.2637339786,143.3678957194,143.4513739568,159.216542151,160.4907775074,168.6029189414,169.8336522238,166.1855982488,165.0295250892,163.1645368302,166.1268955396,154.6321372972,157.4014658486,161.012193615,163.3561629138,164.2883628504,163.2500075224,173.8629849652,167.1030104918,74.8141248346,87.0547437048,120.3853950608,123.21724684834,123.85653979389
GWP_100_AR5_GHG,AZE,Azerbaijan,,,67673.39457151,65863.291776718,55329.235455359,49015.304760348,43498.253191519,42671.108442448,37268.979452994,36555.210831592,36984.582901395,37961.56907826,39687.771799907,39027.722930733,38874.515763668,41690.140689862,41665.368722754,44539.416467196,46218.149758188,46628.332996815,51141.854431772,45504.918688916,44485.02821178,46923.786694465,50028.597303283,51262.495538053,53094.151315178,52971.488415917,52698.744335705,52425.939852341,53136.455410568,55943.296378449,54333.823357534,56596.086854995,59236.259541654,60991.823697597,58279.785322645
GWP_100_AR5_GHG,BDI,Burundi,,,3046.4737799258,3179.5238187961,3134.0186934979,3187.5498542606,3162.4766743917,3286.2672715459,3393.1076910576,3445.779639213,3426.3538423356,2986.3360502626,3051.8117524204,3034.1287794939,3002.9571955494,3043.6387587801,3195.369879333,3310.2253239455,3514.8837768241,3786.3113796794,3771.3400874834,4009.7086203476,4363.1004268381,4633.9210948771,4631.0599788445,5750.4980097421,5703.8426100427,5691.1532065326,6025.8659005015,6713.5389540461,7017.2793172276,6757.3856666908,6761.6793169036,7904.7153881196,7709.8607100523,8187.1617238876,8421.7240098523
GWP_100_AR5_GHG,BEL,Belgium,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,3494.3962430526,3811.0608300319,3828.7015811163,3746.015875886,3704.2995307289,3821.1900336703,4265.3026716721,4069.625094483,4123.5687765528,3985.6759984862,3849.9755877056,4026.8011217575,3842.8193539785,4075.9529792699,4046.9202525338,3962.898076327,3764.9608536043,3510.0292185045,3981.0505930353,3749.3417148192,3978.8831505541,3402.5161931587,3475.3996699587,3733.1279952548,3169.6918761916,3499.8464155008,3486.3835428634,3431.3517990778,3447.9633620716,3366.5854575984,3248.6635073463,3416.1691995828,2962.3941703053,2917.9437897477,2888.5518299459
GWP_100_AR5_GHG,BEL,Belgium,BE21,Prov. Antwerpen,21531.203719697,23303.853234989,22978.537766826,20468.197981371,20592.550466879,20326.390821655,21717.49667893,21374.915164914,20926.340522387,20317.967170929,20312.737506777,20512.956238156,19825.155987495,20306.206492338,20116.811116535,20959.087378428,20707.772358357,20367.306802347,21294.785171403,20817.961389842,21302.883162755,17996.092887857,18373.752099672,18039.553438602,17210.482780804,17969.416350861,17969.855917224,18388.426324298,18613.000893929,18940.598950948,17372.631738126,17684.183044285,16293.981210677,15882.083042302,15846.642288026
