Substance,ISO,Country,Sector,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,ALB,Albania,Transport,260.8701174,196.8602244,146.8679414,178.2473146,218.6566586,212.6232532,209.6657268,164.1824161,257.2809805,526.0293686,546.7044457,568.8896456,624.7275545,694.1877364,813.8278452,833.4772729,664.829443,733.2252845,809.9687899,831.0183744,801.599116,831.4125499,801.2795807,859.1134261,860.6013822,850.9762878,796.8532798,800.0088714,766.3430889,751.5228385,518.1096621,596.1403799,566.8455897,517.2837868,525.7150219
GWP_100_AR5_GHG,ALB,Albania,Waste,169.59233,163.9625385,157.0988285,152.2168473,151.2380827,150.5448307,150.3641159,147.4828695,143.9477406,138.8248775,138.7067809,141.7690444,144.7123023,149.5657864,152.0923442,154.5330429,157.8248411,161.1007971,166.3823488,169.0014804,172.3520791,175.9226154,179.308266,185.2677025,188.8933576,193.0712215,196.5564999,199.9699426,206.1872452,213.259419,219.2045441,225.5202682,213.4699233,216.0604768,216.5292331
GWP_100_AR5_GHG,ALB,Albania,Agriculture,583.5964407,535.4859522,518.4290719,554.342296,683.5933171,695.5640473,656.3499308,610.3667953,591.580218,597.8578738,606.5748283,598.6854748,599.6963404,596.3142324,591.2561179,558.8933746,560.9666923,530.4340119,496.2465475,476.1585254,476.2403411,481.3770532,503.6717602,501.927302,520.9096425,526.9916654,520.1578552,506.8214766,495.3619946,468.979811,420.7230598,396.0639893,364.3107779,332.4460179,300.1080613
GWP_100_AR5_GHG,ALB,Albania,Buildings,618.8362134,399.83983,191.1840158,153.6759267,133.2169561,127.8619737,163.0427601,138.2682356,123.2686482,213.3993427,217.3933141,226.3551303,341.3864349,314.462102,277.1040773,235.2287106,296.3175119,219.8177848,225.4599483,205.7909136,203.2387488,201.4818199,176.3655549,215.6581137,233.0180869,241.0992637,245.8800118,274.0381092,298.5583873,301.3851624,289.9309794,310.3818864,306.7676892,317.2390537,321.8617837
GWP_100_AR5_GHG,ALB,Albania,Energy,221.0564107,139.9587906,78.48155205,139.0461031,170.0953139,114.7467543,94.49731598,87.74759838,96.20884486,94.99995374,128.0324947,123.189513,128.1829289,78.47019185,75.76363962,64.53945476,64.53945476,40.68790006,,2.8255628,7.063903484,14.12765934,,,,,,,,,,,,,
GWP_100_AR5_GHG,ALB,Albania,Indirect,5.620011006,4.075379996,2.72247936,2.6832774,2.973955081,2.763624516,2.722427294,2.11632679,2.833652648,4.891920305,5.066879638,5.093116608,5.524761919,5.556237921,6.261441211,6.113775717,5.328809684,5.755655625,5.619655273,5.352780547,5.179198186,5.848757472,5.266223114,5.348312534,5.780739105,5.762080731,5.5861767,6.250496187,6.706636423,5.999064602,5.036872576,5.981693311,5.426364669,5.125041628,5.139009394
GWP_100_AR5_GHG,ALB,Albania,Industry,1788.826127,1421.418038,618.7396857,553.396847,488.8583791,425.0002098,396.3292626,283.0102793,356.6919579,417.4508232,406.1183483,462.8080719,390.3490551,556.9652402,584.1276012,530.6697972,542.9059766,612.2335017,563.7995163,569.7708828,678.5682775,747.8551901,667.6276607,595.7395931,769.2059185,639.9690153,598.3499357,864.1800887,995.7780754,811.6418189,864.5841603,1087.859463,898.9862186,944.9677215,941.3650282
GWP_100_AR5_GHG,ALB,Albania,Transport,126.9123405,96.14315673,74.32832489,93.25489424,118.2275703,117.7487626,116.7038631,93.32607358,136.6298344,238.7654607,249.3908904,262.1818165,294.4558112,328.9102158,392.0658929,404.7942375,322.9653759,356.3946214,380.0138,409.4067986,398.3027199,411.5038542,395.3596666,424.281558,425.5240119,421.0751129,393.9229689,394.9989037,379.9453496,372.6316102,256.8280641,293.8786911,280.2570834,256.4721739,260.6538152
GWP_100_AR5_GHG,ALB,Albania,Waste,208.9722055,202.0351587,193.5776735,198.9059511,197.6269724,196.7210808,196.4849359,192.7199318,199.4144889,192.3176555,192.1540534,196.3962853,200.4736558,205.5512159,209.0235143,212.3778147,216.9017981,221.4040092,226.6105357,230.177758,234.7412287,239.6042514,244.2154623,249.8750355,254.7650443,260.3998306,265.1005099,269.7043027,276.4418534,285.9237437,293.8945636,302.3622575,286.2059735,286.9585992,287.5811733
GWP_100_AR5_GHG,ALB,Albania,Agriculture,1627.28645,1385.853494,1346.415524,1443.366174,1795.409432,1803.520436,1639.713207,1525.737495,1518.001007,1513.738558,1536.358172,1519.698729,1543.997667,1530.324054,1532.577663,1409.63617,1456.692826,1396.035465,1309.385648,1260.460584,1261.851173,1274.045016,1353.905881,1335.528677,1404.029548,1422.123634,1406.668866,1380.717575,1340.686814,1297.580348,1165.412556,1099.194592,1026.810063,940.8879346,860.1188531
GWP_100_AR5_GHG,ALB,Albania,Buildings,983.0426597,636.6177838,303.9622985,215.1593898,186.8208797,179.5298404,229.5563328,193.9873351,151.5567268,335.5595055,340.5189306,353.3550791,506.6641417,432.1990429,375.9056719,303.2078745,399.6821759,313.5559232,271.5381723,236.18052,240.4110932,242.0494103,217.4179383,231.4398931,253.3411442,254.2844704,260.4017738,291.937849,279.1860557,283.9952677,273.5312008,286.1147779,280.3473034,253.4366396,257.2698476
GWP_100_AR5_GHG,ALB,Albania,Energy,125.985085,79.76570358,44.72842463,75.39447216,92.23017491,62.218723,51.23894235,47.57906707,49.27981651,48.6606018,65.58043446,63.09977641,65.65748943,38.65316804,37.31996347,31.79110859,31.79110859,20.04221222,,1.339109411,3.347771861,6.695473758,,,,,,,,,,,,,
GWP_100_AR5_GHG,ALB,Albania,Indirect,13.02967912,9.448539085,6.311915127,6.221027591,6.894947428,6.407307855,6.311794415,4.906584519,6.569664136,11.34164182,11.74727519,11.80810412,12.80884948,12.88182482,14.51679894,14.17444481,12.35454525,13.34416354,13.02885438,12.41012035,12.00767942,13.56001493,12.20944181,12.39976151,13.40231817,13.35905978,12.95123619,14.49142352,15.54895898,13.90849355,11.6777055,13.86821919,12.58072099,11.88212049,11.91450397
GWP_100_AR5_GHG,ALB,Albania,Industry,1013.044134,872.0111775,526.4626981,473.5669339,440.155214,337.1435488,299.1950497,225.1099796,257.4058195,236.4959471,251.2552289,251.1712443,284.7498987,313.8370373,261.7823261,286.0843012,313.6652048,348.8931347,368.5801953,292.9031943,265.8771253,301.9491455,247.7145321,350.3726811,418.9309324,383.3741972,353.8752893,403.8100446,363.2083398,363.8868262,334.3184454,269.4978311,319.6744798,233.2616613,236.1176614
GWP_100_AR5_GHG,ALB,Albania,Transport,329.2473046,249.4908713,193.2865946,242.969772,308.6099419,307.7775214,305.1444951,244.2813087,356.4557055,607.7038727,636.1511521,670.1798808,754.6471184,844.4147452,1011.689787,1045.0489,832.662711,916.868629,973.0338969,1061.102686,1032.917263,1066.887385,1024.774687,1099.871921,1103.466216,1091.979969,1021.462495,1024.138032,985.3888377,966.3982976,665.8742754,761.7235473,726.5393054,664.9883018,675.8307544
